t,y,velocity_y,acceleration_y
0.0,0.007020251333053729,-0.47769584986694996,-1.9195227467890965
0.03341241,-0.008940718257999247,-0.5418317308869934,-2.96185759813348
0.06682482,-0.029187556553758043,-0.6756214507278521,-4.1790244130857115
0.1002372,-0.054088975643154846,-0.8210941492064061,-4.5388349375463
0.1336496,-0.08405699546652112,-0.9789281042848483,-4.899905695749721
0.167062,-0.11950565042636896,-1.148529367343742,-5.223741431454091
0.2004745,-0.16080737310361126,-1.3280041326164302,-5.472508841159559
0.2338869,-0.20824937541043065,-1.5142292031987434,-5.612039242325572
0.2672993,-0.2619954367615267,-1.7030275325769884,-5.6146672135329005
0.3007117,-0.32205384966938144,-1.889428216809637,-5.46165436228803
0.3341241,-0.38825609946418727,-2.0680014930060135,-5.144993572132012
0.3675365,-0.4602476358392096,-2.233241383268644,-4.6684162745564315
0.4009489,-0.5374920082528378,-2.379967476869992,-4.047490318952427
0.4343613,-0.6192884864875514,-2.503714114334576,-3.308766637531953
0.4677737,-0.7048022032004231,-2.6010751456697374,-2.4880125535118367
0.5011861,-0.7931048128819025,-2.669975055620494,-1.6276490092639477
0.5345985,-0.8832227522972513,-2.709842465183998,-0.7735833751231738
0.568011,-0.9741897671739608,-2.721669603382905,0.028317874364944373
0.6014234,-1.0650980515513135,-2.7079502025195,0.7358115032283692
0.6348358,-1.1551479978672856,-2.67249914684197,1.313644233742714
0.6682482,-1.2436872725391985,-2.62016618932849,1.7363688688833676
0.7016606,-1.3302400794359241,-2.5564666444526125,1.9903886190614628
0.735073,-1.4145226447614154,-2.4871588679374312,2.0750221173945036
0.7684854,-1.4964439733540695,-2.4178037064621485,2.002483669906148
0.8018978,-1.5760918938850073,-2.353343297192687,1.796761488436573
0.8353102,-1.6537056685203115,-2.2977354793496723,1.4914760396098856
0.8687226,-1.7296376077454534,-2.253675709140964,1.1268943477381086
0.9021351,-1.804307318637692,-2.2224309156057416,0.7463525725325582
0.9355475,-1.878151333908272,-2.2038007353627265,0.392407153881166
0.9689599,-1.951575862018159,-2.1962083860290633,0.10304026752002926
1.002372,-2.024911861989427,-2.196915046491437,-0.09171185818202332
1.035785,-2.098384933330348,-2.202337167136612,-0.17243194300360898
1.069197,-2.1720830363824613,-2.208437790770631,-0.13200342483692395
1.10261,-2.245963794099156,-2.2111581948310715,0.023812496502685576
1.136022,-2.319843682711882,-2.206846731148751,0.27699040403366837
1.169434,-2.39343412006144,-2.1926485880719255,0.5990211671966961
1.202847,-2.4663674048763,-2.1668167934861486,0.9536561103110444
1.236259,-2.538231684215479,-2.128920879594979,1.3003587170382325
1.269672,-2.6086324987915996,-2.079919989899068,1.598278996755159
1.303084,-2.6772223916771627,-2.0221161491474575,1.810155092112165
1.336496,-2.7437583883422296,-1.9589581860237644,1.9060432627075556
1.369909,-2.808129707613118,-1.8947447765857035,1.8663085362171437
1.403321,-2.8703747716173833,-1.8342420070914685,1.6837438415618422
1.436734,-2.9307028723094692,-1.782228848508602,1.36452849056721
1.470146,-2.9894722610161946,-1.7430570064234345,0.928025583348969
1.503558,-3.047180913706709,-1.7202144669268904,0.40529064429443196
1.536971,-3.104425578830454,-1.7159740158709837,-0.16343382853670363
1.570383,-3.1618508718599325,-1.7311353518394554,-0.7320341937658732
1.603796,-3.220108723582896,-1.7648927574077362,-1.2525489303349104
1.637208,-3.2797897877256736,-1.814836449633539,-1.6791652089758387
1.67062,-3.3413833544932077,-1.8771012933323377,-1.9722647990820086
1.704033,-3.4052271489433092,-1.9466332622703675,-2.101793683918796
1.737445,-3.4714670504732696,-2.0175536146444912,-2.0498744131189888
1.770858,-3.5400502393136,-2.083615974471229,-1.8123745897800099
1.80427,-3.61070462591624,-2.138665876143264,-1.3993119976783568
1.837683,-3.6829666345372547,-2.1771245021152623,-0.8339903454986697
1.871095,-3.756190941904372,-2.1943979150067747,-0.15116118283335567
1.904507,-3.8296050808096673,-2.1872256969969186,0.6059285564880881
1.93792,-3.902352279079918,-2.1539059566705205,1.3890425189202524
1.971332,-3.973539892976385,-2.0944037143256224,2.1487938232971047
2.004745,-4.042310734895672,-2.010312073558893,2.8387276444110903
2.038157,-4.107879093078667,-1.9047063834650473,3.418801462936422
2.071569,-4.169590834264341,-1.7818540845996296,3.858561904505464
2.104982,-4.226951362001595,-1.646857620850227,4.139282685792409
2.138394,-4.279642234486101,-1.5052467172084718,4.255171935992134
2.171807,-4.327539330361449,-1.3625057225325037,4.213553003617442
2.205219,-4.370691821354452,-1.2236759208100665,4.0339322466858185
2.238631,-4.40931025009366,-1.0929422340799704,3.7461532600882723
2.272044,-4.443727560379203,-0.973339562456033,3.387769890045986
2.305456,-4.4743537797889035,-0.8665541276729982,3.0009394073582847
2.338869,-4.501634939821004,-0.7728021767272111,2.0565712531182285
2.372281,-4.52599637260985,-0.7291222551432224,1.307312390278595
